2024-09-04 09:34:23 startup archives unpack
2024-09-04 09:34:23 upgrade libssl3:amd64 3.0.2-0ubuntu1.17 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2024-09-04 09:34:23 status half-configured libssl3:amd64 3.0.2-0ubuntu1.17
2024-09-04 09:34:23 status unpacked libssl3:amd64 3.0.2-0ubuntu1.17
2024-09-04 09:34:23 status half-installed libssl3:amd64 3.0.2-0ubuntu1.17
2024-09-04 09:34:23 status unpacked libssl3:amd64 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 startup packages configure
2024-09-04 09:34:23 configure libssl3:amd64 3.0.2-0ubuntu1.18 <none>
2024-09-04 09:34:23 status unpacked libssl3:amd64 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 status half-configured libssl3:amd64 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 status installed libssl3:amd64 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 startup archives unpack
2024-09-04 09:34:23 upgrade openssl:amd64 3.0.2-0ubuntu1.17 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 status half-configured openssl:amd64 3.0.2-0ubuntu1.17
2024-09-04 09:34:23 status unpacked openssl:amd64 3.0.2-0ubuntu1.17
2024-09-04 09:34:23 status half-installed openssl:amd64 3.0.2-0ubuntu1.17
2024-09-04 09:34:23 status triggers-pending man-db:amd64 2.10.2-1
2024-09-04 09:34:23 status unpacked openssl:amd64 3.0.2-0ubuntu1.18
2024-09-04 09:34:23 upgrade ubuntu-pro-client-l10n:amd64 32.3.1~22.04 33.2~22.04
2024-09-04 09:34:23 status half-configured ubuntu-pro-client-l10n:amd64 32.3.1~22.04
2024-09-04 09:34:23 status unpacked ubuntu-pro-client-l10n:amd64 32.3.1~22.04
2024-09-04 09:34:23 status half-installed ubuntu-pro-client-l10n:amd64 32.3.1~22.04
2024-09-04 09:34:23 status unpacked ubuntu-pro-client-l10n:amd64 33.2~22.04
2024-09-04 09:34:23 upgrade ubuntu-pro-client:amd64 32.3.1~22.04 33.2~22.04
2024-09-04 09:34:23 status half-configured ubuntu-pro-client:amd64 32.3.1~22.04
2024-09-04 09:34:23 status unpacked ubuntu-pro-client:amd64 32.3.1~22.04
2024-09-04 09:34:23 status half-installed ubuntu-pro-client:amd64 32.3.1~22.04
2024-09-04 09:34:23 status unpacked ubuntu-pro-client:amd64 33.2~22.04
2024-09-04 09:34:24 upgrade ubuntu-advantage-tools:all 32.3.1~22.04 33.2~22.04
2024-09-04 09:34:24 status half-configured ubuntu-advantage-tools:all 32.3.1~22.04
2024-09-04 09:34:24 status unpacked ubuntu-advantage-tools:all 32.3.1~22.04
